Signal
4,822791982
-4,448274985
3,914835193
-1,410737647
-0,883476069
-5,286751651
3,16215322
-3,582058984
-4,642682067
0,276339153
-6,698112769
5,59660706
-7,221321162
-3,93207258
2,75086913
2,35828249
9,931855005
-11,75691127
-4,969632394
-1,490023001
-1,362803319
-1,801287077
-10,54102989
-7,247505952
-4,17124988
4,080252465
0,193999108
1,172978339
2,567280813
-7,302512088
0,82713228
-0,464728495
-1,132296284
-0,408467468
1,14908842
4,833809599
-1,184082022
-1,702731788
1,562354494
3,142192662
3,106157841
3,424374246
1,929364619
-4,770637029
-9,402211805
7,3143196
-6,845776482
-0,56490231
1,221887385
2,30002812
-2,322931623
-4,413846551
1,946531778
-9,001480874
-8,101996465
-1,857759254
-3,710739784
-5,931976507
-9,686931432
1,132423006
-3,396089238
0,312751383
-2,203060307
-7,787069699
-7,293217462
5,098031904
0,987618425
-2,002704707
0,540016721
0,408094508
-4,077684222
4,583663152
1,71372591
0,61634961
0,796120061
5,786584838
-2,288612906
-8,896534472
1,204276354
11,21843492
10,16135729
7,587398725
-3,442054641
-0,839792886
3,521363383
-3,64092815
-7,204838455
-2,089215749
0,350745031
3,190429034
-8,102133769
-5,730914449
3,047434961
10,49568058
-0,561204278
4,304825801
-1,79561011
1,216530438
0,49930684
7,566870871
-5,604864755
-7,895281166
-5,137417365
-4,787428913
-8,513857657
-0,680332951
6,272836371
-3,406361377
-4,919836301
-4,859056473
-5,655730681
-2,304995133
-3,627625432
-5,8058921
-3,267127188
0,81970348
-3,811983024
2,62233551
0,350334735
3,994892092
8,607892136
1,964090197
1,252405906
4,448726813
5,595184518
1,652491326
-4,526777585
9,624724601
-1,230312489
3,717859891
7,24529885
8,199459557
6,348918608
13,71053369
3,598905621
-6,982564501
1,638002989
-1,030654277
-1,04003335
0,268549728
2,254304373
7,709293957
0,959449227
0,947578141
7,738163974
3,972159071
-0,542069552
-0,417480616
1,978296597
-0,478314958
-2,824367294
-4,64076859
3,903317513
3,432208525
-8,142843487
-1,405541625
-3,661010549
-2,496754556
-1,556723931
-8,332807875
-5,061971967
-5,97614389
-2,75544436
-0,240079949
3,913442378
0,291771709
-1,524799759
-6,50664749
0,388038753
2,973720696
-3,823948728
6,430786905
-5,375491435
-2,93375002
2,514894996
-9,017249551
10,57734215
1,791124072
12,34521162
-0,456794064
10,36686786
-2,344234171
2,871085621
14,51176155
-1,869848884
7,004947038
2,71085536
0,30452108
-1,454456282
5,351131175
2,771181586
5,297056881
-1,821645294
6,025301825
-4,573560993
2,854184189
9,192442727
-9,904589081
5,730401786
8,159570077
-2,601288777
-0,303490973
4,231762154
-10,29865338
-2,816244261
-4,391669244
0,915588084
-1,768910721
8,443424074
-10,15701972
2,361382941
-9,679056724
2,783927928
-2,337304017
-2,859640733
1,717896675
-7,247854592
-3,514636845
-1,446449527
7,351541617
-1,883137008
-9,771292663
-3,32894545
-1,219313072
-6,706725148
3,375968177
-1,121822274
1,675008873
5,782884686
4,025094057
10,09594296
5,308607425
-1,359246512
-8,585925551
2,419055197
-3,652437366
2,226369317
1,280366548
2,220965867
2,672833256
3,160221825
-1,930481166
4,586446719
-5,937220928
-3,527292668
-6,038371712
-0,585792362
-2,392956555
9,175319564
-0,675842803
-2,807437694
-1,251497499
-13,212591
-3,786827035
-0,036703535
-5,266904919
-0,787974856
-3,521458584
1,361960672
-2,133673181
-10,25951011
-8,693950018
-2,701838817
-3,092769592
-5,567637603
0,44133923
-1,913862213
10,81910203
8,33067368
3,710389895
1,010012165
-5,149900301
-6,212952174
8,686522481
9,158097242
8,351011082
-9,387869253
0,438527472
8,049443275
0,408975478
5,577444293
2,083897914
2,437305248
-2,681971342
-3,459627161
11,11008322
-13,46716135
-1,754545255
8,693447279
10,60519306
5,498025841
2,787367555
1,715802409
-1,229808991
7,958624898
3,053121128
-10,56546376
-13,77101127
7,216452401
-3,739503514
-5,24206089
-3,908452369
2,161545026
-1,725355168
-1,374219935
3,319892561
1,089594945
0,666436104
4,336798753
-7,571386554
-6,450305603
5,360257613
-0,196374737
-3,399347617
2,699998118
3,21710827
-1,590274466
-4,927062064
-0,818354357
-1,50352588
1,769625003
-8,775713189
-2,620454537
1,718305094
-1,781638314
6,125412663
-4,875096761
2,348202684
-5,108643232
4,163131109
-1,423249808
-5,015832915
7,385046137
1,032415801
-2,863031143
0,959374975
3,800428843
3,704972374
4,56999016
3,677811626
5,660534365
9,36522654
6,273732524
0,028505306
-10,42236514
-4,210307286
-2,89613649
-8,76869714
10,33128759
-0,401286321
-8,774258969
2,162097518
1,403176623
-6,351988461
-3,55357791
0,180605931
-4,358401688
1,38412743
2,046791849
-3,429073085
5,637756921
-6,215232493
3,670803608
-8,324241161
-3,386073801
1,337219154
0,417881901
-4,475500672
0,70662537
7,106303403
-8,049276322
-0,189877986
1,113934766
5,084039851
7,798753436
-6,333765724
1,77170732
-0,933519329
3,888557908
5,884137277
0,374878285
9,19201329
-5,302532177
0,852023465
3,44030056
-0,519963564
3,715396779
-3,994099303
-4,691048348
11,96573034
3,615360313
2,877221429
-3,310754123
4,125216877
2,259855788
-5,184140841
